"POWER","getsockname","send","rename","shmget","unlink","getppid","close","brk","inotify_init1","open","getuid32","shmctl","time","poll","ioctl","writev","socket","chdir","clock_getres","getrlimit","dup2","clone","mprotect","prctl","sigreturn","uname","getpid","inotify_add_watch","sendmsg","recv","_llseek","set_robust_list","gettimeofday","stat64","fcntl64","chmod","munmap","getdents","inotify_rm_watch","geteuid32","connect","rt_sigprocmask","getresgid32","pipe","fstatfs64","execve","getpeername","getdents64","getresuid32","write","rt_sigaction","read","shmat","futex","listen","ftruncate","lstat64","getpgrp","set_thread_area","fstat64","recvmsg","madvise","eventfd2","access","clock_gettime","openat","getcwd","set_tid_address","statfs64","getgid32","waitpid","lgetxattr","fsync","mmap2","bind","getegid32","readlink"
"20.78476452008","4","16","8","2","1","0","561","212","1","694","2","2","83","7452","8","2211","9","0","1","1","0","4","100","4","0","9","0","4","173","7581","62","5","7620","575","32","8","64","2","2","5","8","1","2","0","8","1","1","27","2","634","5","5086","2","871","1","1","534","0","1","359","302","1","42","256","27309","31","6","1","2","0","0","0","8","308","1","2","57"
"20.74338025113","4","16","8","2","1","0","514","212","1","650","2","2","83","7567","4","2269","9","0","1","1","0","4","92","4","0","9","0","2","163","7779","62","5","5257","545","32","8","64","2","0","5","8","1","2","0","8","1","1","22","2","599","5","5054","2","856","1","1","434","0","1","315","282","1","41","256","27305","29","6","1","2","0","0","0","8","294","1","2","34"
"20.35098045216","3","12","2","0","0","1","873","123","1","1056","11","0","79","8038","22","2550","11","1","1","5","16","17","157","4","10","12","1","4","161","7988","72","7","11535","909","31","3","111","2","2","13","11","184","1","8","2","7","1","53","1","1287","141","5876","0","2184","0","7","598","1","7","535","232","1","88","294","27328","51","998","3","7","9","23","3","2","501","0","11","78"
"20.64542626087","3","12","2","0","0","1","869","122","1","1056","11","0","79","12083","14","4158","11","1","1","5","16","17","157","4","10","12","1","4","164","9742","72","7","11441","905","31","3","111","2","2","13","11","184","1","8","2","7","1","53","1","1084","141","8330","0","2173","0","7","615","1","7","536","254","1","84","290","29787","51","1115","3","7","9","23","3","2","501","0","11","78"
"20.33632511733","3","12","2","0","0","1","873","121","1","1055","11","0","79","8027","16","2529","11","1","1","5","16","17","157","4","10","12","1","4","163","7949","72","7","11396","905","31","3","111","2","2","13","11","184","1","8","2","7","1","53","1","1127","141","5867","0","2202","0","7","598","1","7","535","248","1","89","290","27285","51","994","3","7","9","23","3","2","501","0","11","78"
"20.28434469328","3","12","3","0","0","1","881","121","1","1057","11","0","80","8056","20","2541","11","1","1","5","16","17","157","4","10","12","1","4","160","7963","73","7","11450","905","32","4","112","2","0","13","11","184","1","8","3","7","1","53","1","1185","141","5878","0","2140","0","7","599","1","7","537","248","1","95","290","27306","51","995","3","7","9","23","3","3","502","0","11","78"
"20.43353547303","3","12","2","0","0","1","869","122","1","1043","11","0","79","8373","18","2733","11","1","1","5","16","17","157","4","10","13","1","4","168","8676","72","7","10715","971","31","3","111","2","2","13","11","184","1","8","2","7","1","53","1","1204","141","5956","0","2255","0","7","586","1","7","523","252","1","97","290","27386","51","919","3","7","9","23","3","2","501","0","11","78"
"20.44638672383","3","12","2","0","0","1","817","117","1","991","11","0","79","8406","14","2758","11","1","1","5","16","17","157","4","10","17","1","4","155","8718","72","7","7482","786","31","3","104","2","2","13","11","184","1","8","2","7","1","53","1","1344","141","5833","0","2126","0","7","449","1","7","470","256","1","97","299","27381","51","846","3","7","9","23","3","2","496","0","11","32"
"20.43093899139","3","12","2","0","0","1","834","140","1","1008","11","0","79","8398","22","2747","11","1","1","5","16","17","157","4","10","17","1","4","161","8658","72","7","8563","861","31","3","106","2","2","13","11","184","1","8","2","7","1","53","1","1369","141","5875","0","2179","0","7","480","1","7","487","256","1","97","299","27354","51","846","3","7","9","23","3","2","498","0","11","41"
"20.46108081722","3","12","2","0","0","1","839","123","1","1005","11","0","79","8428","20","2735","11","1","1","5","16","16","157","3","10","17","1","4","161","8695","72","6","8418","862","31","3","103","2","2","13","11","184","1","8","2","7","1","53","1","1439","141","5888","0","2193","0","7","456","1","7","484","276","1","105","299","27374","51","847","3","7","9","23","3","2","495","0","11","42"
