"POWER","getsockname","send","rename","shmget","unlink","getppid","close","brk","inotify_init1","open","getuid32","shmctl","time","poll","ioctl","writev","socket","chdir","clock_getres","getrlimit","dup2","clone","mprotect","prctl","sigreturn","uname","getpid","inotify_add_watch","sendmsg","recv","_llseek","set_robust_list","gettimeofday","stat64","fcntl64","chmod","munmap","tgkill","getdents","inotify_rm_watch","geteuid32","connect","rt_sigprocmask","getresgid32","pipe","fstatfs64","execve","getpeername","getdents64","getresuid32","write","rt_sigaction","read","shmat","futex","listen","ftruncate","lstat64","getpgrp","set_thread_area","fstat64","recvmsg","madvise","eventfd2","access","clock_gettime","openat","getcwd","set_tid_address","statfs64","getgid32","waitpid","lgetxattr","mmap2","fsync","ftruncate64","bind","getegid32","readlink"
"21.96170491956","4","16","5","2","1","0","523","64","1","654","2","2","71","43223","216","12819","9","0","1","1","0","6","102","6","0","12","0","5","156","53444","46","7","11692","770","30","5","47","0","2","2","5","8","1","2","0","5","1","1","36","2","984","5","26695","2","591","1","1","218","0","1","332","294","3","39","243","38391","35","0","1","1","0","0","0","293","6","1","1","2","45"
"22.09574430401","4","16","5","2","1","0","519","67","1","649","2","2","71","43075","216","12736","9","0","1","1","0","6","102","6","0","12","0","5","153","54008","46","7","11345","758","30","5","47","0","2","2","5","8","1","2","0","5","1","1","36","2","993","5","26588","2","574","1","1","212","0","1","327","290","3","40","243","38591","35","0","1","1","0","0","0","293","6","1","1","2","44"
"22.13038560363","4","16","5","2","1","0","520","66","1","649","2","2","71","43058","216","12747","9","0","1","1","0","6","102","6","0","12","0","5","153","54074","46","7","11300","769","30","5","47","0","2","2","5","8","1","2","0","5","1","1","36","2","1001","5","26568","2","579","1","1","212","0","1","327","288","3","41","243","38583","35","0","1","1","0","0","0","293","6","1","1","2","44"
"21.90768412435","4","16","5","2","1","0","522","68","1","649","2","2","71","43047","216","12740","9","0","1","1","0","6","102","6","0","12","0","5","153","54206","46","7","11345","769","30","5","47","0","2","2","5","8","1","2","0","5","1","1","36","2","1017","5","26555","2","587","1","1","212","0","1","327","290","3","43","243","38640","35","0","1","1","0","0","0","293","6","1","1","2","44"
"21.87600417232","4","16","5","2","1","0","518","67","1","649","2","2","71","43042","216","12744","9","0","1","1","0","6","102","6","0","12","0","5","153","53786","46","7","11316","758","30","5","47","0","2","2","5","8","1","2","0","5","1","1","36","2","987","5","26553","2","608","1","1","212","0","1","327","290","3","39","243","38473","35","0","1","1","0","0","0","293","6","1","1","2","44"
"22.02877395885","4","16","5","2","1","0","521","68","1","649","2","2","71","43046","216","12736","9","0","1","1","0","6","102","6","0","12","0","5","153","53993","46","7","11338","769","30","5","47","0","2","2","5","8","1","2","0","5","1","1","36","2","1011","5","26568","2","599","1","1","212","0","1","327","290","3","42","243","38564","35","0","1","1","0","0","0","293","6","1","1","2","44"
"21.93927810217","4","16","5","2","1","0","519","68","1","649","2","2","71","43039","216","12730","9","0","1","1","0","6","102","6","0","12","0","5","153","53881","46","7","11276","758","30","5","47","0","2","2","5","8","1","2","0","5","1","1","36","2","995","5","26568","2","585","1","1","212","0","1","327","292","3","40","243","38549","35","0","1","1","0","0","0","293","6","1","1","2","44"
"22.02715665438","4","16","5","2","1","0","516","68","1","644","2","2","71","42954","214","12717","9","0","1","1","0","6","103","6","0","12","0","5","153","53774","46","7","10923","766","30","5","47","0","2","2","5","8","1","2","0","5","1","1","36","2","1009","5","26489","2","588","1","1","207","0","1","322","288","3","42","243","38426","35","0","1","1","0","0","0","293","6","1","1","2","41"
"21.89671972112","4","16","5","2","1","0","520","68","1","649","2","2","71","42995","216","12719","9","0","1","1","0","6","102","6","0","12","0","5","153","53894","46","7","11353","769","30","5","47","0","2","2","5","8","1","2","0","5","1","1","36","2","1003","5","26526","2","591","1","1","212","0","1","327","290","3","41","243","38510","35","0","1","1","0","0","0","293","6","1","1","2","44"
"21.881523479","4","16","5","2","1","0","518","90","1","647","2","2","71","43006","216","12726","9","0","1","1","0","6","101","6","0","12","0","5","153","53872","45","7","11267","768","30","5","47","0","2","2","5","8","1","2","0","5","1","1","36","2","1003","5","26526","2","609","1","1","212","0","1","325","290","3","41","243","38464","35","0","1","1","0","0","0","291","6","1","1","2","44"
"22.16291251125","4","16","5","2","1","0","513","64","1","648","2","2","69","43066","216","12747","9","0","1","1","0","6","101","6","0","12","0","5","153","53913","44","7","11353","762","30","5","45","0","2","2","5","8","1","2","0","5","1","1","36","2","972","5","26562","2","588","1","1","234","0","1","326","290","3","37","238","38510","35","0","1","2","0","0","0","291","6","1","1","2","44"
"21.95724271872","4","16","5","2","1","0","516","80","1","648","2","2","69","43012","216","12737","9","0","1","1","0","6","101","6","0","12","0","5","153","53952","44","7","11395","828","30","5","46","0","2","2","5","8","1","2","0","5","1","1","36","2","996","5","26525","2","601","1","1","234","0","1","326","290","3","40","238","38480","35","0","1","2","0","0","0","292","6","1","1","2","44"
"21.9973440502","4","16","5","2","1","0","516","64","1","649","2","2","69","43056","214","12748","9","0","1","1","0","6","101","6","0","12","0","5","153","53851","43","7","11208","763","30","5","45","0","2","2","5","8","1","2","0","5","1","1","36","2","989","5","26557","2","615","1","1","252","0","1","327","286","3","39","238","38482","35","0","1","2","0","0","0","291","5","0","1","2","45"
"21.72621507599","4","16","5","2","1","0","520","64","1","649","2","2","69","43017","214","12732","9","0","1","1","0","6","101","6","0","12","0","5","153","53649","43","7","11144","752","30","5","45","0","2","2","5","8","1","2","0","5","1","1","36","2","1018","5","26528","2","602","1","1","252","0","1","327","288","3","43","238","38415","35","0","1","2","0","0","0","291","5","0","1","2","45"
"21.87642254095","4","16","5","2","1","0","514","64","1","649","2","2","69","43031","216","12741","9","0","1","1","0","6","101","6","0","12","0","5","153","54039","43","7","11196","763","30","5","45","0","2","2","5","8","1","2","0","5","1","1","36","2","977","5","26536","2","620","1","1","252","0","1","327","288","3","37","238","38552","35","0","1","2","0","0","0","291","5","0","1","2","45"
"21.99399895764","4","16","5","2","1","0","519","64","1","649","2","2","69","43009","216","12737","9","0","1","1","0","6","101","6","0","12","0","5","153","53964","43","7","11210","763","30","5","45","0","2","2","5","8","1","2","0","5","1","1","36","2","1017","5","26527","2","610","1","1","245","0","1","327","288","3","42","238","38491","35","0","1","2","0","0","0","291","5","0","1","2","45"
"21.80752385193","4","16","5","2","1","0","517","63","1","649","2","2","69","43060","216","12739","9","0","1","1","0","6","101","6","0","12","0","5","153","54000","43","7","11189","763","30","5","45","0","2","2","5","8","1","2","0","5","1","1","36","2","998","5","26564","2","627","1","1","245","0","1","327","290","3","40","238","38546","35","0","1","2","0","0","0","291","5","0","1","2","45"
"21.99965146272","4","16","5","2","1","0","472","56","1","605","2","2","69","42656","4","12730","9","0","1","1","0","7","93","7","0","12","0","4","150","53500","43","8","8590","731","30","5","45","0","2","1","5","8","1","2","0","5","1","1","31","2","566","5","25900","2","604","1","1","144","0","1","285","278","3","41","238","37679","33","0","1","2","0","0","0","277","5","0","1","2","20"
"20.35377275877","3","12","1","0","0","1","741","98","1","937","11","0","68","50441","223","16443","11","1","1","5","16","18","158","5","10","16","1","7","95","61948","56","8","7805","1057","30","2","84","1","2","2","13","11","173","1","8","1","7","1","51","1","1168","141","30510","0","1213","0","7","226","1","7","454","192","2","56","419","37234","51","596","3","7","9","23","3","481","1","0","0","11","42"
"20.63552658252","3","12","1","0","0","1","746","100","1","938","11","0","68","68076","223","25321","11","1","1","5","16","18","158","5","10","16","1","7","95","74761","56","8","7746","1057","30","2","84","1","2","2","13","11","173","1","8","1","7","1","51","1","1196","141","39165","0","1187","0","7","226","1","7","455","192","2","60","419","46094","51","666","3","7","9","23","3","481","1","0","0","11","42"
"20.27966771747","3","12","1","0","0","1","747","100","1","937","11","0","68","50489","223","16442","11","1","1","5","16","18","158","5","10","16","1","7","95","62535","56","8","7732","1057","30","2","84","1","2","2","13","11","173","1","8","1","7","1","51","1","1233","141","30594","0","1183","0","7","226","1","7","454","192","2","62","419","37542","51","596","3","7","9","23","3","481","1","0","0","11","42"
"20.28729819971","3","12","1","0","0","1","745","100","1","937","11","0","68","50433","223","16421","11","1","1","5","16","18","158","5","10","16","1","7","95","62175","56","8","7754","1046","30","2","84","1","2","2","13","11","173","1","8","1","7","1","51","1","1217","141","30576","0","1188","0","7","226","1","7","454","192","2","60","419","37360","51","597","3","7","9","23","3","481","1","0","0","11","42"
"20.41115198852","3","12","1","0","0","1","740","98","1","935","11","0","68","50358","223","16424","11","1","1","5","16","18","158","5","10","16","1","7","95","60596","56","8","7690","1057","30","2","84","1","2","2","13","11","173","1","8","1","7","1","51","1","1174","141","30345","0","1201","0","7","224","1","7","452","192","2","57","419","36739","51","585","3","7","9","23","3","481","1","0","0","11","42"
"20.45110519345","3","12","1","0","0","1","749","100","1","934","11","0","68","50258","223","16392","11","1","1","5","16","18","158","5","10","16","1","7","106","60377","56","8","7637","1057","30","2","84","1","2","2","13","11","173","1","8","1","7","1","51","1","1295","141","30298","0","1279","0","7","223","1","7","451","210","2","67","419","36613","51","572","3","7","9","23","3","481","1","0","0","11","42"
"20.44846505571","3","12","1","0","0","1","757","104","1","939","11","0","68","50277","223","16402","11","1","1","5","16","18","158","5","10","16","1","7","106","60626","56","8","7974","1060","30","2","84","1","2","2","13","11","173","1","8","1","7","1","51","1","1299","141","30306","0","1309","0","7","228","1","7","456","212","2","70","419","36697","51","572","3","7","9","23","3","481","1","0","0","11","45"
"20.44499311172","3","12","1","0","0","1","758","106","1","939","11","0","68","50321","223","16404","11","1","1","5","16","18","158","5","10","16","1","7","106","60649","56","8","8015","1060","30","2","84","1","2","2","13","11","173","1","8","1","7","1","51","1","1331","141","30372","0","1244","0","7","228","1","7","456","210","2","71","419","36828","51","573","3","7","9","23","3","481","1","0","0","11","45"
"20.42122996388","3","12","1","0","0","1","757","104","1","939","11","0","68","50489","223","16421","11","1","1","5","16","18","158","5","10","16","1","7","106","60833","56","8","7968","1060","30","2","84","1","2","2","13","11","173","1","8","1","7","1","51","1","1303","141","30479","0","1265","0","7","228","1","7","456","210","2","70","419","36923","51","573","3","7","9","23","3","481","1","0","0","11","45"
"20.43580141642","3","12","1","0","0","1","756","107","1","939","11","0","68","50403","223","16429","11","1","1","5","16","18","158","5","10","16","1","7","106","60739","56","8","8011","1060","30","2","84","1","2","2","13","11","173","1","8","1","7","1","51","1","1293","141","30403","0","1299","0","7","228","1","7","456","210","2","69","419","36886","51","573","3","7","9","23","3","481","1","0","0","11","45"
"20.44645510458","3","12","1","0","0","1","754","108","1","939","11","0","68","50378","223","16424","11","1","1","5","16","18","158","5","10","16","1","7","106","60422","56","8","8021","1060","30","2","84","1","2","2","13","11","173","1","8","1","7","1","51","1","1297","141","30380","0","1263","0","7","228","1","7","456","210","2","67","419","36689","51","573","3","7","9","23","3","481","1","0","0","11","45"
